iso_code	Glottocode	gloss_global	Word_Form	phon_northeuralex	IPA	ASJP	List	Dolgo	Next_Step
ben	beng1280	Auge::N	চক্ষু	t͡ʃɔkkʰu	t͡ʃ ɔ k kʰ u	Coku	CUKKY	KVKKV	validate
ben	beng1280	Ohr::N	কর্ণ	kɔrno	k ɔ r n o	korno	KURNU	KVRNV	validate
ben	beng1280	Nase::N	নাক	nak	n a k	nak	NAK	NVK	validate
ben	beng1280	Mund::N	মুখ	mukʰ	m u kʰ	muk	MYK	MVK	validate
ben	beng1280	Zahn::N	দাঁত	d̪ãt̪ɔ	d ã t ɔ	dato	TATU	TVTV	validate
ben	beng1280	Zunge::N	জিহবা	d͡ʒiɦɔba	d͡ʒ i ɦ ɔ b a	jihoba	CIHUPA	KVHVPV	validate
ben	beng1280	Haar::N	চুল	t͡ʃul	t͡ʃ u l	Cul	CYL	KVR	validate
ben	beng1280	Hals::N	গল	ɡɔl	ɡ ɔ l	gol	KUL	KVR	validate
ben	beng1280	Kopf::N	মাথা	mat̪ʰa	m a tʰ a	mata	MATA	MVTV	validate
ben	beng1280	Rücken::N	পৃষ্ঠ	priʃʈʰo	p r i ʃ ʈʰ o	priSto	PRISTU	PRVSTV	validate
ben	beng1280	Bauch::N	উদর	ud̪ɔr	u d ɔ r	udor	YTUR	VTVR	validate
ben	beng1280	Brust::N	বুক	buk	b u k	buk	PYK	PVK	validate
ben	beng1280	Hand::N	হাত	ɦat̪	ɦ a t	hat	HAT	HVT	validate
ben	beng1280	Nagel[Anatomie]::N	নখ	nɔkʰ	n ɔ kʰ	nok	NUK	NVK	validate
ben	beng1280	Fuß::N	পা	pa	p a	pa	PA	PV	validate
ben	beng1280	Knie::N	হাঁটু	ɦãʈu	ɦ ã ʈ u	hatu	HATY	HVTV	validate
ben	beng1280	Bein::N	পা	pa	p a	pa	PA	PV	validate
ben	beng1280	Haut::N	ত্বক	t̪ːɔk	t t ɔ k	tok	TUK	TVK	validate
ben	beng1280	Blut::N	রক্ত	rɔkt̪o	r ɔ k t o	rokto	RUKTU	RVKTV	validate
ben	beng1280	Knochen::N	অস্থি	ɔst̪ʰi	ɔ s tʰ i	osti	USTI	VSTV	validate
ben	beng1280	Herz::N	হৃৎপিণ্ড	ɦrit̪pinɖo	ɦ r i t p i n ɖ o	hritpindo	HRITPINTU	HRVTPVNTV	validate
ben	beng1280	Leber::N	যকৃৎ	d͡ʒɔkrit̪	d͡ʒ ɔ k r i t	jokrit	CUKRIT	KVKRVT	validate
ben	beng1280	Himmel::N	আকাশ	akaʃ	a k a ʃ	akaS	AKAS	VKVS	validate
ben	beng1280	Sonne::N	সূর্য	ʃure̯o	ʃ u r e o	Sureo	SYREU	SVRV	validate
ben	beng1280	Mond::N	চন্দ্র	t͡ʃɔnd̪ro	t͡ʃ ɔ n d r o	Condro	CUNTRU	KVNTRV	validate
ben	beng1280	Stern::N	নক্ষত্র	nɔkkʰɔt̪ro	n ɔ k kʰ ɔ t r o	nokotro	NUKKUTRU	NVKKVTRV	validate
ben	beng1280	Wind::N	বাতাস	bat̪aʃ	b a t a ʃ	bataS	PATAS	PVTVS	validate
ben	beng1280	Wasser::N	জল	d͡ʒɔl	d͡ʒ ɔ l	jol	CUL	KVR	validate
ben	beng1280	Stein::N	ঢিল	ɖɦil	ɖ ɦ i l	dhil	THIL	THVR	validate
ben	beng1280	Stein::N	প্রস্তর	prɔst̪or	p r ɔ s t o r	prostor	PRUSTUR	PRVSTVR	validate
