iso,glottocode,language_name,glotto_level,macroarea,latitude,longitude,dist2ocean,dist2lakes,dist2rivers,dist2water,climate_PC1,climate_PC2,log_popSize,altitude,longitude_original,family_code,family
abq,abaz1241,Abaza,language,Eurasia,41.1214,42.7273,108346,5333,86693,5333,-7.231,-2.793,10.54,1866,42.7273,abkh1242,Abkhaz-Adyge
abk,abkh1244,Abkhazian,language,Eurasia,43.056218,41.159115,24011,10815,7989,7989,-3.293,-2.812,11.523,467,41.159115,abkh1242,Abkhaz-Adyge
ady,adyg1241,Adyghe,language,Eurasia,44,39.33,12353,45486,5075,5075,-3.186,-2.481,11.674,240,39.33,abkh1242,Abkhaz-Adyge
kbd,kaba1278,Kabardian,language,Eurasia,43.5082,43.3918,176308,28561,10908,10908,-5.7,-2.472,13.154,990,43.3918,abkh1242,Abkhaz-Adyge
uby,ubyk1235,Ubykh,language,Eurasia,43.67,39.67,16137,3958,7654,3958,-3.02,-2.651,0,208,39.67,abkh1242,Abkhaz-Adyge
aas,aasa1238,Aasax,language,Africa,-4.00679,36.8648,268469,42323,86246,42323,-1.551,0.724,5.858,1299,36.8648,afro1255,Afro-Asiatic
aal,afad1236,Afade,language,Africa,12.0551,14.6343,1040185,15625,21353,15625,-0.941,4.301,10.342,292,14.6343,afro1255,Afro-Asiatic
aar,afar1241,Afar,language,Africa,12.2281,41.8083,81803,37459,369594,37459,-0.354,3.653,14.062,322,41.8083,afro1255,Afro-Asiatic
ajw,ajaw1236,Ajawa,language,Africa,10.21,9.89205,610635,21981,10501,10501,-0.62,2.934,0,579,9.89205,afro1255,Afro-Asiatic
alw,alab1254,Alaba-K'abeena,language,Africa,7.39014,38.1732,653415,11273,101556,11273,-1.625,-0.049,12.535,1986,38.1732,afro1255,Afro-Asiatic
wbj,alag1248,Alagwa,language,Africa,-4.64148,35.7231,353493,27617,19591,19591,-1.501,0.836,10.309,1459,35.7231,afro1255,Afro-Asiatic
arq,alge1239,Algerian Arabic,language,Africa,35.4208,3.23033,136523,29964,76819,29964,-4.076,0.098,17.074,749,3.23033,afro1255,Afro-Asiatic
aao,alge1240,Algerian Saharan Arabic,language,Africa,20.8884,4.80626,1495727,247867,213504,213504,-2.631,4.921,11.513,568,4.80626,afro1255,Afro-Asiatic
amh,amha1245,Amharic,language,Africa,11.708182,39.543456,299280,28645,117911,28645,-2.721,-0.496,16.888,2750,39.543456,afro1255,Afro-Asiatic
hbo,anci1244,Ancient Hebrew,language,Eurasia,31.7761,35.1725,42228,5355,50737,5355,-3.441,0.942,0,777,35.1725,afro1255,Afro-Asiatic
arv,arbo1245,Arbore,language,Africa,4.92183,36.7986,851248,18521,77250,18521,0.17,2.736,8.883,526,36.7986,afro1255,Afro-Asiatic
agj,argo1244,Argobba,language,Africa,10.6596,39.756,297843,37541,130504,37541,-1.516,0.571,10.685,2498,39.756,afro1255,Afro-Asiatic
aii,assy1241,Assyrian Neo-Aramaic,language,Eurasia,36.75,43,519411,10432,15132,10432,-3.791,2.288,10.309,481,43,afro1255,Afro-Asiatic
bob,awee1242,Aweer,language,Africa,-1.40124,41.234,39158,11188,46265,11188,0.467,2.369,8.987,42,41.234,afro1255,Afro-Asiatic
auj,awji1241,Awjilah-Foqaha,language,Africa,29.2341,21.1819,209246,39147,663062,39147,-3.329,2.648,8.006,46,21.1819,afro1255,Afro-Asiatic
awn,awng1244,Awngi,language,Africa,10.9819,36.6916,553617,28432,59165,28432,-0.819,-0.58,13.1,2086,36.6916,afro1255,Afro-Asiatic
bbz,baba1273,Babalia Creole Arabic,language,Africa,12.7617,16.6925,1246974,20094,174565,20094,-0.845,5.086,8.279,296,16.6925,afro1255,Afro-Asiatic
bcy,baca1246,Bacama,language,Africa,9.53072,12.0416,647649,7739,31764,7739,-0.165,3.493,11.918,148,12.0416,afro1255,Afro-Asiatic
